model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,0,0.9328063241106719,0.8650793650793651,0.815686274509804
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,1,0.7368421052631577,0.8947368421052632,0.7105263157894738
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.8387096774193549,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,5,0.8076923076923077,0.7739463601532567,0.7099236641221375
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,5_has_all,20,6,0.7536231884057971,0.7714285714285715,0.7428571428571429
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.8799999999999999,0.923076923076923,0.8461538461538461
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.5714285714285714,0.5714285714285714,0.14285714285714285
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.5454545454545454,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,4_has_union,40,9,0.5355648535564854,0.6859504132231405,0.4545454545454546
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,5_has_all,32,6,0.6074074074074075,0.8529411764705882,0.5693430656934305
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,1.0,0.7272727272727273
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,1.0,0.5,0.5
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,4,0.0,0.7027027027027027,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relf1,4_has_union,43,3,0.8790322580645161,0.8559999999999999,0.790513833992095
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relf1,5_has_all,22,9,0.5352112676056339,0.7887323943661972,0.5070422535211268
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,tpch,1_easy_no_join,4,1,0.5,0.8333333333333333,0.5
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,tpch,2_medium_join,2,0,0.22222222222222224,0.2,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,tpch,3_has_aggr,8,0,0.0,0.5161290322580646,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,tpch,4_has_union,42,0,0.8307692307692308,0.6870229007633588,0.6106870229007633
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,tpch,5_has_all,20,1,0.7887323943661971,0.4857142857142857,0.4507042253521127
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relstack,1_easy_no_join,5,0,1.0,0.962962962962963,0.962962962962963
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relstack,2_medium_join,2,0,0.25,0.0,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relstack,3_has_aggr,7,1,0.0,0.3181818181818182,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relstack,4_has_union,40,8,0.45138888888888884,0.5053380782918149,0.35416666666666663
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relstack,5_has_all,32,5,0.6250000000000001,0.732824427480916,0.5801526717557252
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,relf1,1_easy_no_join,4,0,1.0,1.0,1.0
