backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,1_easy_no_join,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,2_medium_join,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,3_has_aggr,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,4_has_union,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,5_has_all,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,1_easy_no_join,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,2_medium_join,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,3_has_aggr,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,4_has_union,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,Other
gemma-7b_nl,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,5_has_all,,,,,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,Other
