backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family,val,best_run_label,plot_label
llama3-8b_sql,base/sql,1_easy_no_join,13.0,0.9444444444444444,0.6756756756756757,0.6756756756756757,Base (SQL),Base,0.6756756756756757,Base (SQL),llama3-8b_sql: Base
llama3-8b_sql,base/sql,2_medium_join,6.0,0.7692307692307693,0.3571428571428571,0.14285714285714288,Base (SQL),Base,0.3571428571428571,Base (SQL),llama3-8b_sql: Base
llama3-8b_sql,base/sql,3_has_aggr,23.0,0.0,0.6,0.0,Base (SQL),Base,0.6,Base (SQL),llama3-8b_sql: Base
llama3-8b_sql,base/sql,4_has_union,125.0,0.7552631578947367,0.6509186351706037,0.5785340314136125,Base (SQL),Base,0.6509186351706037,Base (SQL),llama3-8b_sql: Base
llama3-8b_sql,base/sql,5_has_all,74.0,0.6613545816733067,0.546875,0.443579766536965,Base (SQL),Base,0.546875,Base (SQL),llama3-8b_sql: Base
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13.0,0.9736842105263158,0.9610389610389611,0.935064935064935,DPO (SQL) ep1 SFT ep2,DPO,0.9610389610389611,DPO (SQL) ep1 SFT ep2,llama3-8b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,6.0,0.9600000000000001,0.5128205128205129,0.4878048780487804,DPO (SQL) ep1 SFT ep2,DPO,0.5128205128205129,DPO (SQL) ep1 SFT ep2,llama3-8b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.826923076923077,0.0,DPO (SQL) ep1 SFT ep2,DPO,0.826923076923077,DPO (SQL) ep1 SFT ep2,llama3-8b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,125.0,0.7294117647058823,0.7950819672131149,0.6571428571428571,DPO (SQL) ep2 SFT ep2,DPO,0.7950819672131149,DPO (SQL) ep2 SFT ep2,llama3-8b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74.0,0.6209386281588447,0.8394160583941606,0.5611510791366907,DPO (SQL) ep1 SFT ep2,DPO,0.8394160583941606,DPO (SQL) ep1 SFT ep2,llama3-8b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,1_easy_no_join,13.0,1.0,0.9610389610389611,0.9610389610389611,SFT (SQL) ep2,SFT,0.9610389610389611,SFT (SQL) ep2,llama3-8b_sql: best_SFT (SFT (SQL) ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,2_medium_join,6.0,0.5517241379310344,0.43750000000000006,0.375,SFT (SQL) ep1,SFT,0.43750000000000006,SFT (SQL) ep1,llama3-8b_sql: best_SFT (SFT (SQL) ep1)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,3_has_aggr,23.0,0.0,0.4175824175824176,0.0,SFT (SQL) ep2,SFT,0.4175824175824176,SFT (SQL) ep2,llama3-8b_sql: best_SFT (SFT (SQL) ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,4_has_union,125.0,0.6727748691099477,0.7188703465982027,0.5717948717948719,SFT (SQL) ep2,SFT,0.7188703465982027,SFT (SQL) ep2,llama3-8b_sql: best_SFT (SFT (SQL) ep2)
llama3-8b_sql,ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,5_has_all,74.0,0.7797833935018051,0.7163120567375887,0.6382978723404255,SFT (SQL) ep2,SFT,0.7163120567375887,SFT (SQL) ep2,llama3-8b_sql: best_SFT (SFT (SQL) ep2)
qwen2.5-7b_nl,base/nl,1_easy_no_join,13.0,0.732394366197183,0.8,0.611111111111111,Base (NL),Base,0.8,Base (NL),qwen2.5-7b_nl: Base
qwen2.5-7b_nl,base/nl,2_medium_join,6.0,0.1,0.27272727272727276,0.0,Base (NL),Base,0.27272727272727276,Base (NL),qwen2.5-7b_nl: Base
qwen2.5-7b_nl,base/nl,3_has_aggr,23.0,0.0,0.4266666666666667,0.0,Base (NL),Base,0.4266666666666667,Base (NL),qwen2.5-7b_nl: Base
qwen2.5-7b_nl,base/nl,4_has_union,125.0,0.21654135338345865,0.415748031496063,0.1263157894736842,Base (NL),Base,0.415748031496063,Base (NL),qwen2.5-7b_nl: Base
qwen2.5-7b_nl,base/nl,5_has_all,74.0,0.17258883248730966,0.3061224489795918,0.14213197969543145,Base (NL),Base,0.3061224489795918,Base (NL),qwen2.5-7b_nl: Base
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13.0,0.6301369863013698,0.9189189189189189,0.5945945945945945,DPO (NL) ep1 SFT ep2,DPO,0.9189189189189189,DPO (NL) ep1 SFT ep2,qwen2.5-7b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6.0,0.16666666666666666,0.30769230769230765,0.0,DPO (NL) ep1 SFT ep2,DPO,0.30769230769230765,DPO (NL) ep1 SFT ep2,qwen2.5-7b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.7536231884057972,0.0,DPO (NL) ep2 SFT ep2,DPO,0.7536231884057972,DPO (NL) ep2 SFT ep2,qwen2.5-7b_nl: best_DPO (DPO (NL) ep2 SFT ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,125.0,0.23510971786833854,0.7925117004680187,0.22776911076443054,DPO (NL) ep1 SFT ep2,DPO,0.7925117004680187,DPO (NL) ep1 SFT ep2,qwen2.5-7b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,5_has_all,74.0,0.2833333333333334,0.7333333333333334,0.25,DPO (NL) ep2 SFT ep2,DPO,0.7333333333333334,DPO (NL) ep2 SFT ep2,qwen2.5-7b_nl: best_DPO (DPO (NL) ep2 SFT ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,1_easy_no_join,13.0,0.44776119402985076,0.7647058823529411,0.35294117647058826,SFT (NL) ep1,SFT,0.7647058823529411,SFT (NL) ep1,qwen2.5-7b_nl: best_SFT (SFT (NL) ep1)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,2_medium_join,6.0,0.09523809523809525,0.43478260869565216,0.0,SFT (NL) ep1,SFT,0.43478260869565216,SFT (NL) ep1,qwen2.5-7b_nl: best_SFT (SFT (NL) ep1)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,3_has_aggr,23.0,0.0,0.45,0.0,SFT (NL) ep2,SFT,0.45,SFT (NL) ep2,qwen2.5-7b_nl: best_SFT (SFT (NL) ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,4_has_union,125.0,0.2441860465116279,0.6023391812865497,0.2238372093023256,SFT (NL) ep2,SFT,0.6023391812865497,SFT (NL) ep2,qwen2.5-7b_nl: best_SFT (SFT (NL) ep2)
qwen2.5-7b_nl,ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,5_has_all,74.0,0.1896551724137931,0.47826086956521735,0.13793103448275862,SFT (NL) ep2,SFT,0.47826086956521735,SFT (NL) ep2,qwen2.5-7b_nl: best_SFT (SFT (NL) ep2)
qwen2.5-7b_sql,base/sql,1_easy_no_join,13.0,0.48387096774193544,0.5901639344262295,0.25,Base (SQL),Base,0.5901639344262295,Base (SQL),qwen2.5-7b_sql: Base
qwen2.5-7b_sql,base/sql,2_medium_join,6.0,0.2,0.09090909090909091,0.09090909090909091,Base (SQL),Base,0.09090909090909091,Base (SQL),qwen2.5-7b_sql: Base
qwen2.5-7b_sql,base/sql,3_has_aggr,23.0,0.0,0.36363636363636365,0.0,Base (SQL),Base,0.36363636363636365,Base (SQL),qwen2.5-7b_sql: Base
qwen2.5-7b_sql,base/sql,4_has_union,125.0,0.7044776119402986,0.4334470989761092,0.32344213649851633,Base (SQL),Base,0.4334470989761092,Base (SQL),qwen2.5-7b_sql: Base
qwen2.5-7b_sql,base/sql,5_has_all,74.0,0.34375,0.21875,0.16666666666666666,Base (SQL),Base,0.21875,Base (SQL),qwen2.5-7b_sql: Base
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13.0,0.9599999999999999,0.9473684210526315,0.9210526315789475,DPO (SQL) ep1 SFT ep2,DPO,0.9473684210526315,DPO (SQL) ep1 SFT ep2,qwen2.5-7b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,2_medium_join,6.0,0.5714285714285714,0.3478260869565218,0.3478260869565218,DPO (SQL) ep2 SFT ep2,DPO,0.3478260869565218,DPO (SQL) ep2 SFT ep2,qwen2.5-7b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.6341463414634146,0.0,DPO (SQL) ep2 SFT ep2,DPO,0.6341463414634146,DPO (SQL) ep2 SFT ep2,qwen2.5-7b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,125.0,0.7547169811320755,0.8301886792452831,0.6859623733719248,DPO (SQL) ep1 SFT ep2,DPO,0.8301886792452831,DPO (SQL) ep1 SFT ep2,qwen2.5-7b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74.0,0.6899563318777292,0.7947598253275109,0.6637554585152838,DPO (SQL) ep1 SFT ep2,DPO,0.7947598253275109,DPO (SQL) ep1 SFT ep2,qwen2.5-7b_sql: best_DPO (DPO (SQL) ep1 SFT ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,1_easy_no_join,13.0,0.6031746031746031,0.6562499999999999,0.53125,SFT (SQL) ep1,SFT,0.6562499999999999,SFT (SQL) ep1,qwen2.5-7b_sql: best_SFT (SFT (SQL) ep1)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,2_medium_join,6.0,0.4761904761904762,0.08695652173913045,0.08695652173913045,SFT (SQL) ep1,SFT,0.08695652173913045,SFT (SQL) ep1,qwen2.5-7b_sql: best_SFT (SFT (SQL) ep1)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,3_has_aggr,23.0,0.0,0.4210526315789474,0.0,SFT (SQL) ep2,SFT,0.4210526315789474,SFT (SQL) ep2,qwen2.5-7b_sql: best_SFT (SFT (SQL) ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,4_has_union,125.0,0.7023809523809524,0.6270928462709284,0.528023598820059,SFT (SQL) ep2,SFT,0.6270928462709284,SFT (SQL) ep2,qwen2.5-7b_sql: best_SFT (SFT (SQL) ep2)
qwen2.5-7b_sql,ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,5_has_all,74.0,0.5482233502538072,0.3756345177664974,0.3248730964467005,SFT (SQL) ep2,SFT,0.3756345177664974,SFT (SQL) ep2,qwen2.5-7b_sql: best_SFT (SFT (SQL) ep2)
